cliente_id,idade,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,contatos_suporte,avaliacao_conteudo,metodo_pagamento,dispositivo_principal,churn,previsao_churn,probabilidade
CLI00001,23.0,30.0,PREMIUM,39.9,54,47,6.0,2.9,Débito,mobile,0,Vai cancelar,0.6
CLI00002,26.0,58.0,PREMIUM,39.9,44,43,8.0,4.9,Credito,Mobile,0,Vai continuar,0.2
CLI00003,74.0,39.0,Premium,39.9,13,130,6.0,1.9,,mobile,0,Vai cancelar,0.6
CLI00004,62.0,40.0,basico,19.9,36,175,5.0,3.3,Boleto,Mobile,1,Vai continuar,0.2
CLI00005,67.0,40.0,Padrão,29.9,40,90,1.0,1.4,PIX,Desktop,0,Vai cancelar,0.6
CLI00006,77.0,43.0,PREMIUM,39.9,57,169,9.0,3.7,,TV,0,Vai continuar,0.2
CLI00007,70.0,18.0,Básico,19.9,39,185,7.0,4.8,Credito,tv,1,Vai continuar,0.2
CLI00008,54.0,6.0,Padrão,29.9,58,69,2.0,2.3,Credito,TV,0,Vai cancelar,0.6
CLI00009,49.0,18.0,Básico,19.9,9,22,5.0,1.0,PIX,Tablet,0,Vai cancelar,0.6
CLI00010,21.0,41.0,PREMIUM,39.9,79,121,3.0,0.5,Cartão de Crédito,tv,0,Vai cancelar,0.6
CLI00011,56.0,4.0,basico,19.9,35,18,7.0,2.9,Boleto,Tablet,1,Vai cancelar,0.9
CLI00012,50.0,48.0,PREMIUM,39.9,7,169,3.0,0.4,Boleto,TV,1,Vai cancelar,0.6
CLI00013,46.0,18.0,basico,19.9,81,160,5.0,4.9,Débito,Mobile,0,Vai continuar,0.2
CLI00014,30.0,41.0,Básico,19.9,27,178,6.0,2.8,Credito,TV,0,Vai cancelar,0.6
CLI00015,24.0,1.0,Básico,19.9,73,166,7.0,3.6,Credito,Tablet,1,Vai continuar,0.5
